,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Infineon,10000.0,12718.36,2718.36,0.27183614319989136,0.002704088564474643,0.0010325569192783934,0.0010325569192783934,0.2404616383810694,0.0010320241990603837,0.05790908728926605,0.8839438540017512,0.09443480521758173,-0.0045431922856397355,-1.2536692077197928,1,1,0.13
1,best_trained_on_bmw_d5,False,Infineon,10000.0,10231.21,231.21,0.02312094805982142,0.0010079299759073942,9.810656654862804e-05,9.810656654862804e-05,0.022857708778495293,9.810175441414289e-05,0.04279271232866047,0.6532024044867969,-0.2529692608739869,-0.00291817433461891,-0.6937969694422952,167,69,8.88
2,best_trained_on_bmw_d5,True,Infineon,10000.0,12227.68,2227.68,0.22276772076997112,0.002223408469414051,0.0008635353483925634,0.0008635353483925634,0.20111691288595993,0.0008631627162487551,0.05242803162653659,0.8002791703863829,0.04299330098695655,-0.003702944807668116,-1.0089498065152402,146,35,4.51
