,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,E.ON,10000.0,9563.44,-436.56,-0.04365627283954564,0.00032612664052298094,-0.00018993040056880517,-0.00018993040056880517,-0.04463788331338609,-0.00018994843963143017,0.03234894015554997,0.49589986222928917,-0.4678713749192882,-0.001905049894268522,-0.42650406525540835,1,1,0.13
1,best_trained_on_bmw_d5,False,E.ON,10000.0,16651.75,6651.75,0.6651753730368292,0.0024825644108630277,0.002172272769132899,0.002172272769132899,0.5099304470369302,0.002169916795901831,0.024908746936402923,0.3818438599431894,1.2487153664951216,0.0010976218593402706,0.17135479653657287,177,56,7.15
2,best_trained_on_bmw_d5,True,E.ON,10000.0,15730.31,5730.31,0.573031266090335,0.0022894137481326367,0.0019295378930468399,0.0019295378930468399,0.45300450060481545,0.001927678725977938,0.026833879984738775,0.4113555907403114,0.9351281402887741,0.0006933723475206831,0.05898034015471554,152,31,3.96
