,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Henkel vz.,10000.0,6251.19,-3748.81,-0.3748812647059136,-0.0015022572029707115,-0.0019972100264145087,-0.0019972100264145087,-0.46981367081844194,-0.0019992071098657105,0.03167436693927683,0.48555885064112364,-1.1599877985668998,-0.0035841745942017636,-0.5806572074778165,1,1,0.13
1,best_trained_on_bmw_d5,False,Henkel vz.,10000.0,10153.12,153.12,0.015311721496841346,0.0003111349589927655,6.466455925346892e-05,6.466455925346892e-05,0.015195680118874748,6.466246859095637e-05,0.022287690281884414,0.3416638222782494,-0.5064901366296417,-0.0007538431270771561,-0.18193035852094527,178,58,7.4
2,best_trained_on_bmw_d5,True,Henkel vz.,10000.0,8213.37,-1786.63,-0.17866310703745075,-0.0005726090542314199,-0.0008371893997171087,-0.0008371893997171087,-0.19682190904208527,-0.0008375400384769586,0.02313069710395064,0.35458687214976947,-1.0350755016287956,-0.0016978692607527933,-0.3221220040773888,190,49,6.26
