,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Deutsche Bank,10000.0,9994.12,-5.88,-0.0005877603693279525,0.007487902725694806,-1.0689636832039717e-05,-1.0689636832039717e-05,-0.0005879331681666831,-1.0689693966666965e-05,0.12426291443023325,0.9215584379995937,-0.02772234436351529,-0.025407993405297598,-1.39697087000554,1,1,0.55
1,best_trained_on_dt__d20,False,Deutsche Bank,10000.0,8610.66,-1389.34,-0.13893444584184436,-0.0011081447443739235,-0.0027160256414576756,-0.0027160256414576756,-0.14958464021906803,-0.0027197207312557826,0.05756063947579083,0.4268811273966188,-0.3839346256447845,-0.008009463273272469,-0.37936351221798914,40,12,6.55
2,best_trained_on_dt__d20,True,Deutsche Bank,10000.0,6102.49,-3897.51,-0.38975117883144733,-0.00315842911242584,-0.008939593025395931,-0.008939593025395931,-0.4938885014298146,-0.008979790935087538,0.11041983347536677,0.81889540196537,-0.5064275337682076,-0.02800742767567711,-1.1736075968673543,38,7,3.82
