,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Deutsche Bank,10000.0,9994.12,-5.88,-0.0005877603693279525,0.007487902725694806,-1.0689636832039717e-05,-1.0689636832039717e-05,-0.0005879331681666831,-1.0689693966666965e-05,0.12426291443023325,0.9215584379995937,-0.02772234436351529,-0.025407993405297598,-1.39697087000554,1,1,0.55
1,best_trained_on_db_d20,False,Deutsche Bank,10000.0,15796.53,5796.53,0.579652610712545,0.010045505499782075,0.00834746479170101,0.00834746479170101,0.45720495622703305,0.008312817385946055,0.057939662372370956,0.429692036428811,1.2909073561674986,0.00234203451225261,0.026882545667835323,44,17,9.27
2,best_trained_on_db_d20,True,Deutsche Bank,10000.0,13918.28,3918.28,0.391828276879459,0.007873731095969836,0.006029343577269142,0.006029343577269142,0.33061818999149195,0.006011239818027127,0.06048007134605886,0.4485322136160795,0.8179307210105523,-0.0003519213477942377,-0.11483286625037215,45,17,9.27
