,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Bayerische Motoren Werke AG,10000.0,9663.22,-336.78,-0.03367751725236958,0.0027084400688236372,-0.0005804698927617258,-0.0005804698927617258,-0.034257667407399675,-0.0005806384306338928,0.08213492213517988,0.6308903079101561,-0.09294407683422531,-0.011629214828625058,-0.6671195833564934,1,1,0.51
1,best_trained_on_dt__d20,False,Bayerische Motoren Werke AG,10000.0,8778.81,-1221.19,-0.12211896183450935,-0.0010919039122094588,-0.0022050937832077677,-0.0022050937832077677,-0.1302441863657177,-0.0022075285824697914,0.04728556097025579,0.36320728558226206,-0.4049449657892333,-0.005778592842091244,-0.2947527863579276,39,15,7.63
2,best_trained_on_dt__d20,True,Bayerische Motoren Werke AG,10000.0,9163.61,-836.39,-0.0836386705072311,0.0017786017396671443,-0.0014793204468422916,-0.0014793204468422916,-0.08734452757692202,-0.0014804157216427461,0.0817572320070577,0.6279892149885185,-0.17293078912066454,-0.012352979909616283,-0.679796159330508,41,3,1.53
