,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Infineon,10000.0,11875.13,1875.13,0.1875127308600855,0.009949430446911428,0.002917144534787086,0.002917144534787086,0.17186097759347516,0.0029128979253131384,0.12122710833227358,0.9311630876928503,0.17456956037942137,-0.02160928076382976,-1.413286712411871,1,1,0.51
1,best_trained_on_db_d20,False,Infineon,10000.0,6963.31,-3036.69,-0.30366928287779327,-0.0038124391123864104,-0.006115639209194668,-0.006115639209194668,-0.36193056322538225,-0.006134416325853937,0.06859387221360459,0.5268795298833716,-0.6237275586518566,-0.0134353763892649,-0.6002868745900454,51,10,5.08
2,best_trained_on_db_d20,True,Infineon,10000.0,6664.17,-3335.83,-0.33358312433541343,-0.004669105452621799,-0.006855038071814312,-0.006855038071814312,-0.40583986482381124,-0.006878641776674767,0.066946964656903,0.5142293929070805,-0.6972435439920507,-0.013768177097797853,-0.5969965948568086,52,10,5.08
