,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,E.ON,10000.0,9568.48,-431.52,-0.043151860570395,6.764896549172464e-05,-3.7604223977028006e-05,-3.7604223977028006e-05,-0.04411058410242184,-3.760493103360771e-05,0.014537808360339417,0.4979066717412539,-3.331432417586241,-0.000384693854654613,-0.4294436572401686,1,1,0.03
1,best_trained_on_google_d1,False,E.ON,10000.0,20980.75,10980.75,1.0980753923704047,0.0006916511440454672,0.0006319305684270304,0.0006319305684270304,0.7410204446813559,0.0006317309843830826,0.01092622320038468,0.3742131752986317,-1.3829421527381935,0.00042865945696475474,0.456823212064451,845,300,7.67
2,best_trained_on_google_d1,True,E.ON,10000.0,9568.48,-431.52,-0.043151860570395,6.764896549172464e-05,-3.7604223977028006e-05,-3.7604223977028006e-05,-0.04411058410242184,-3.760493103360771e-05,0.014537808360339417,0.4979066717412539,-3.331432417586241,-0.000384693854654613,-0.4294436572401686,878,1,0.03
