Date,Open,High,Low,Close,Volume,Adj Close
2019-01-02,158.39999389648438,158.89999389648438,158.39999389648438,149.7662353515625,78,149.7662353515625
2019-01-03,157.6999969482422,157.6999969482422,156.0,147.59844970703125,209,147.59844970703125
2019-01-04,158.3000030517578,158.3000030517578,157.1999969482422,149.10646057128906,101,149.10646057128906
2019-01-07,162.8000030517578,162.8000030517578,159.3000030517578,150.52023315429688,246,150.52023315429688
2019-01-08,159.60000610351562,165.1999969482422,159.60000610351562,155.70411682128906,34,155.70411682128906
2019-01-09,168.39999389648438,170.3000030517578,168.39999389648438,159.56842041015625,113,159.56842041015625
2019-01-10,168.8000030517578,169.0,167.10000610351562,157.49488830566406,168,157.49488830566406
2019-01-11,169.3000030517578,171.10000610351562,169.0,161.26498413085938,65,161.26498413085938
2019-01-14,170.0,170.39999389648438,170.0,160.60519409179688,58,160.60519409179688
2019-01-15,175.3000030517578,178.1999969482422,175.3000030517578,167.95684814453125,641,167.95684814453125
2019-01-16,178.8000030517578,178.8000030517578,177.1999969482422,168.23959350585938,131,168.23959350585938
2019-01-17,177.3000030517578,178.5,177.1999969482422,168.23959350585938,216,168.23959350585938
2019-01-18,179.0,181.60000610351562,179.0,171.06715393066406,206,171.06715393066406
2019-01-21,181.39999389648438,182.60000610351562,181.39999389648438,171.63267517089844,41,171.63267517089844
2019-01-22,183.10000610351562,183.10000610351562,181.10000610351562,170.69015502929688,145,170.69015502929688
2019-01-23,180.6999969482422,185.39999389648438,180.6999969482422,174.74298095703125,3,174.74298095703125
2019-01-24,185.3000030517578,186.89999389648438,185.3000030517578,176.15673828125,115,176.15673828125
2019-01-25,187.5,189.3000030517578,187.5,178.41883850097656,10,178.41883850097656
2019-01-28,188.60000610351562,189.1999969482422,187.89999389648438,177.28778076171875,158,177.28778076171875
2019-01-29,188.10000610351562,191.5,187.8000030517578,180.49234008789062,62,180.49234008789062
2019-01-30,189.89999389648438,192.0,189.89999389648438,180.963623046875,40,180.963623046875
2019-01-31,192.39999389648438,192.39999389648438,188.39999389648438,177.57054138183594,50,177.57054138183594
