episode,avg_reward,avg_loss
0.0,-269.8852934966216,0.0
1.0,-270.0576699746622,7.11129579012869
2.0,-269.97247149493245,9.379213753709916
3.0,-270.0365551097973,18.812575604048273
4.0,-269.7378589527027,17.103037034800405
5.0,-269.88985958614865,14.738713395197797
6.0,-269.7187236064189,12.621535758775623
7.0,-270.1566459037162,11.126246778380661
8.0,-269.08026288006755,11.999795989548403
9.0,-269.9495090793919,12.135210638040409
10.0,-269.8111275337838,9.654954680500659
11.0,-269.7421611064189,14.729667362191153
12.0,-269.8158519847973,8.996677230311677
13.0,-270.0147804054054,19.395138038606742
14.0,-269.9209776182432,13.801513018070295
15.0,-269.68575802364865,24.56685291096994
16.0,-270.1905352618243,17.70844957208709
17.0,-269.44995777027026,12.708740825980897
18.0,-267.97191722972974,12.820693311997795
19.0,-269.5786792652027,16.383383712100446
20.0,-269.7479940878378,15.807222971593529
21.0,-270.0560599662162,17.269406681280415
22.0,-269.70668813344594,17.59798682571536
23.0,-270.09509607263516,14.877786062918736
24.0,-269.6830394847973,14.922281546771003
25.0,-269.7197265625,28.070625187347634
26.0,-269.98321368243245,23.019724846501827
27.0,-269.85137774493245,11.760927564083628
28.0,-270.04566089527026,15.353829355138917
29.0,-269.6274809966216,16.382670519771807
30.0,-269.96072635135135,22.866939790003904
31.0,-270.0432590793919,5.15012372807071
32.0,-269.5828494510135,18.64185125006748
33.0,-270.1583086993243,15.01996391593867
34.0,-269.6503378378378,21.834423933562437
35.0,-270.1311497043919,14.21876064512607
36.0,-269.5029296875,14.268752675416868
37.0,-269.7213893581081,9.9929797563282
38.0,-269.5683065878378,14.910057983492237
39.0,-269.81218327702703,26.314875655714665
40.0,-269.35275021114865,10.151398016047079
41.0,-269.9126372466216,14.231670580149665
42.0,-269.4032939189189,14.870991409268973
43.0,-269.7794552364865,12.679537966723684
44.0,-269.9092060810811,8.276181595377375
45.0,-269.7495249155405,10.323470074604762
46.0,-269.7977987753378,10.996383247443061
47.0,-270.0331503378378,16.163288077677613
48.0,-270.1198268581081,11.15602981510988
49.0,-269.7622466216216,14.324822953524011
50.0,-269.86365076013516,12.97230632259267
51.0,-269.90295080236484,19.914479946343082
52.0,-269.9178103885135,10.684743917055664
53.0,-267.9297666807432,14.867279345195387
54.0,-270.00451330236484,13.814448540067339
55.0,-270.00116131756755,10.636178397443373
56.0,-270.0193992820946,17.861634554389582
57.0,-269.9261771537162,15.657548066704432
58.0,-269.9362331081081,12.033499726311529
59.0,-270.0874419341216,14.625949095137747
60.0,-269.98474451013516,21.04170043074179
61.0,-269.14920291385135,17.212735396675868
62.0,-269.32453547297297,16.201862535659412
63.0,-268.7929951435811,14.133346829709518
64.0,-269.64862225506755,16.11985803037008
65.0,-270.0987911739865,13.047932799986173
66.0,-270.02905933277026,20.495392377219325
67.0,-270.0052787162162,14.97519873511406
68.0,-269.3020481418919,23.84477017550996
69.0,-269.1803737331081,30.308761352858415
70.0,-269.64904455236484,15.835032274047766
71.0,-269.84591427364865,26.588911506508218
72.0,-270.08612225506755,17.198723031596906
73.0,-269.7992240287162,16.112612929102077
74.0,-269.29655827702703,16.017105788088106
75.0,-268.9437552787162,22.760912846543814
76.0,-270.14817356418916,40.1287233110513
77.0,-269.69797825168916,15.475000926921986
78.0,-269.8862700591216,18.1233002078095
79.0,-269.55310388513516,10.095195622060967
80.0,-268.23065350506755,29.318586951514007
81.0,-269.13341955236484,35.45389950928484
82.0,-269.8241131756757,25.432162498825196
83.0,-269.08137141047297,22.32566134616539
84.0,-269.4409047719595,32.963067984454085
85.0,-269.7866078969595,34.72024702757749
86.0,-270.13109691722974,19.569107181628137
87.0,-268.1192461993243,19.130476158363127
88.0,-269.52465160472974,25.8895579622093
89.0,-269.8680320945946,23.38654374959971
90.0,-269.1766258445946,20.601753882592632
91.0,-269.96798458614865,30.207907327160008
92.0,-269.6942039695946,16.285388495574818
93.0,-269.66823268581084,13.356016676117296
94.0,-268.7461993243243,15.764800488327014
95.0,-268.54956714527026,21.03724320781162
96.0,-269.89418813344594,20.514800606162634
97.0,-269.3799355996622,52.42167321583153
98.0,-269.1457981418919,32.358546181535104
99.0,-269.6304370777027,56.23220426744864
100.0,-269.7004856418919,43.03095024380844
101.0,-268.86365076013516,41.928852452236235
102.0,-269.8002533783784,31.390894220069665
103.0,-269.66770481418916,43.943775732167275
104.0,-268.6128853462838,42.48093658821624
105.0,-269.31616870777026,44.905399604473196
106.0,-269.2172455658784,37.8057955361913
107.0,-268.11209353885135,37.78536056869603
108.0,-269.5195576435811,29.82224639985346
109.0,-269.2230785472973,31.27619274437303
110.0,-267.6897434543919,33.330019806677875
111.0,-269.9135082347973,40.6857633020552
112.0,-266.87423458614865,39.34891868229156
113.0,-267.5605996621622,53.80826725927683
114.0,-269.20679370777026,63.128084032711
115.0,-268.8422455658784,57.790702207589305
116.0,-269.5067303631757,56.373644376928326
117.0,-269.3621463260135,55.954735623082684
118.0,-269.8213154560811,50.815567061488736
119.0,-268.8328494510135,52.10426318842936
120.0,-268.7285948057432,55.30021246249017
121.0,-270.0510715793919,47.08985793732145
122.0,-268.0138302364865,45.96892349658473
123.0,-269.8202597128378,47.157590036658576
124.0,-269.31706608952703,48.009256603221324
125.0,-269.7763935810811,33.33310408895625
126.0,-269.7062130489865,61.63224806826799
127.0,-269.57260874155406,34.57250707420403
128.0,-268.2901974239865,42.39382652748888
129.0,-269.49379750844594,73.75322681103897
130.0,-270.0742715371622,84.77132938235313
131.0,-268.3325855152027,68.77680727291407
132.0,-268.7420555320946,69.42734108935265
133.0,-270.0473500844595,65.13863574979942
134.0,-269.77478357263516,99.02993913668273
135.0,-269.4248838682432,75.92641350436065
136.0,-269.9639727618243,46.35518971175177
137.0,-269.46946262668916,71.3457029438695
138.0,-269.7475453969595,82.8270515778236
139.0,-269.48865076013516,81.49543908167868
140.0,-269.3686391469595,70.3625036769417
141.0,-269.9871463260135,61.97837461015509
142.0,-267.8901235219595,45.000157752850896
143.0,-270.0333086993243,64.44473883806207
144.0,-269.38698268581084,77.02641935082534
145.0,-268.8804370777027,69.66458899111309
146.0,-270.0585145692568,50.211467484060705
147.0,-268.7440614442568,47.82869355892465
148.0,-267.3383393158784,62.790869724484644
149.0,-269.6068676097973,45.26779130092636
150.0,-269.47244510135135,72.39751686006835
151.0,-269.5507548564189,53.35663414864908
152.0,-269.70154138513516,66.81425092991343
153.0,-268.90593327702703,42.11948886131061
154.0,-269.31028293918916,59.43237307205264
155.0,-269.3520375844595,45.713813773239
156.0,-269.5132231841216,36.25778999729961
157.0,-264.43530933277026,47.967610285383394
158.0,-266.06719805743245,68.85136919144084
159.0,-269.7616131756757,50.09104390665457
160.0,-268.6329444679054,60.768063088631806
161.0,-269.31674936655406,91.98368322187004
162.0,-269.16187183277026,69.6130998401065
163.0,-264.9112383868243,74.76709814450632
164.0,-268.5643475506757,77.36231907040532
165.0,-267.92551731418916,83.81782075966562
166.0,-267.3034206081081,68.32848857486289
167.0,-269.28689822635135,66.97817132420263
168.0,-269.12621410472974,84.96450408109965
169.0,-268.3394214527027,61.704481822739915
170.0,-269.8032886402027,79.10975674347159
171.0,-268.84704919763516,58.95695120721951
172.0,-268.23751583614865,75.75095142870478
173.0,-269.7499472128378,59.92855489044871
174.0,-269.39487436655406,72.94993907714172
175.0,-267.3326119087838,59.27021658678738
176.0,-269.1188502956081,69.82114682020094
177.0,-269.2729096283784,61.494924454550194
178.0,-266.9013407939189,60.78475382834205
179.0,-269.46658572635135,63.11886811837323
180.0,-267.40793918918916,59.495254651700115
181.0,-269.3370196368243,81.04401899617501
182.0,-265.8940561655405,83.22405531143951
183.0,-268.7905933277027,59.68578184105034
184.0,-269.46745671452703,57.13174249812474
185.0,-268.64959881756755,80.21827813172644
186.0,-268.2950274493243,50.6556826260389
187.0,-269.15020586993245,58.8315816406867
188.0,-269.1855204814189,51.940392949341934
189.0,-269.5854360219595,71.2504292824367
190.0,-267.1063925253378,64.72119275839613
191.0,-269.5842747043919,44.833717782619324
192.0,-269.6903505067568,77.480501547182
193.0,-269.2972972972973,117.19819044856563
194.0,-269.8324271537162,140.20561625407095
195.0,-269.1205922719595,141.5409232350973
196.0,-265.7212309966216,99.73908627524989
197.0,-267.29613597972974,93.28167581567638
198.0,-269.8080394847973,117.32719815352839
199.0,-269.29946157094594,116.94751513580569
200.0,-267.07590793918916,136.45409462539666
201.0,-268.8598236908784,144.84683925379423
202.0,-269.35816089527026,119.97008864074175
203.0,-269.50818201013516,111.62137759897207
204.0,-268.21618982263516,141.87571789285695
205.0,-270.0915065456081,130.34706928288995
206.0,-269.3936074746622,97.05088480355711
207.0,-268.234375,119.61561742759312
208.0,-269.9298194679054,122.79405968215009
209.0,-266.3617504222973,130.60456092770121
210.0,-267.36784733952703,112.5975279902138
211.0,-269.61544552364865,131.1708063202851
212.0,-268.73601140202703,87.83928722574366
213.0,-266.68282833614865,119.14498123150453
214.0,-269.68871410472974,90.91292794543271
215.0,-265.3662109375,118.6400226630461
216.0,-267.6383815456081,135.84799186097925
217.0,-269.63930532094594,130.5057948157705
218.0,-267.66583086993245,104.80864761936529
219.0,-268.7741237331081,120.05265648385378
220.0,-266.48463893581084,139.18982605545293
221.0,-268.8685599662162,107.9667762058028
222.0,-264.78834987331084,125.92235105682151
223.0,-266.9361275337838,119.00772286652625
224.0,-268.1674144847973,160.34631632489848
225.0,-269.7037056587838,224.0179825888353
226.0,-269.83567356418916,133.02785596882524
227.0,-268.1523965371622,155.48604599370003
228.0,-268.8631492820946,126.92949473478276
229.0,-265.69454708614865,162.75290410567132
230.0,-269.6219383445946,164.83363443039372
231.0,-268.9186549831081,181.54923256269427
232.0,-269.0551625844595,131.3565342337531
233.0,-266.8989389780405,131.35769619733475
234.0,-269.4516997466216,101.09467691491817
235.0,-269.4849556587838,149.34658166518133
236.0,-267.8897804054054,145.30627154129192
237.0,-267.8125,126.43534018150903
238.0,-267.42403927364865,161.57064156748683
239.0,-268.4955394847973,136.25751699739612
240.0,-267.3901763091216,176.8007760656469
241.0,-269.1893739442568,109.3565667841339
242.0,-267.5161528716216,93.81204208145994
243.0,-269.8827861064189,85.19925070990739
244.0,-268.1460356841216,115.20299011451519
245.0,-269.40838788006755,72.94189647661182
246.0,-268.36072107263516,87.21126047464072
247.0,-270.025390625,85.70574483235855
248.0,-267.3314505912162,75.58746592880993
249.0,-267.2738597972973,91.34389608138245
250.0,-269.31899282094594,101.61314026232135
251.0,-269.4182590793919,86.07936736440249
252.0,-269.3287056587838,85.90317398024798
253.0,-269.89197107263516,100.64816798338627
254.0,-267.30698374155406,82.63138935458558
255.0,-268.7881123310811,77.12868041476439
256.0,-269.5062816722973,85.55393708404794
257.0,-262.6319415118243,335.1759249594717
258.0,-266.8458086993243,387.1553954943647
259.0,-268.06706608952703,382.0699104227777
260.0,-269.8922877956081,440.6558488005332
261.0,-269.3648384712838,434.19992582591783
262.0,-269.6979518581081,333.76570986228154
263.0,-268.11011402027026,344.98198532216526
264.0,-267.83327174831084,347.8274111289845
265.0,-268.59995249155406,322.4189671946715
266.0,-265.6348975929054,345.6880862547593
267.0,-268.3862964527027,369.5823517561861
268.0,-259.7920713682432,297.5146831825756
269.0,-267.8197582347973,378.2966866766911
270.0,-269.3891997466216,405.73882996811966
271.0,-267.6556957347973,335.7910287645475
272.0,-267.4944309543919,367.1093268543914
273.0,-268.0153346706081,170.2753569467723
274.0,-269.3053737331081,152.18098086943903
275.0,-266.5513091216216,165.34749829691796
276.0,-268.2289907094595,193.27730635547786
277.0,-268.8159047719595,185.8494945148744
278.0,-268.8080658783784,153.79250079702842
279.0,-267.7461465371622,192.06312975533024
280.0,-268.02713260135135,150.23251123318258
281.0,-268.95639780405406,162.14956256341512
282.0,-268.9799144847973,184.63899329557552
283.0,-268.4531777871622,162.15538303879947
284.0,-267.6288270692568,155.198476116953
285.0,-263.65017947635135,165.65797504825278
286.0,-268.5152290962838,177.4844096498012
287.0,-267.81366131756755,149.799552247472
288.0,-269.1166860219595,139.40143127433993
289.0,-269.4552100929054,306.87293792160017
290.0,-268.4463682432432,279.88999121478275
291.0,-268.32403399493245,280.09806192104514
292.0,-269.2339263091216,346.41764679664334
293.0,-263.4775654560811,366.61732281671067
294.0,-264.2422138935811,307.0227460465491
295.0,-268.9906302787162,323.15863772833217
296.0,-269.4340424408784,326.8344768551539
297.0,-268.2294130067568,248.53385468162693
298.0,-269.51140202702703,296.4546802319308
299.0,-268.6959987331081,291.65181583094085
300.0,-260.0248891469595,444.03456763254695
301.0,-265.3105996621622,321.36625947305595
302.0,-266.1997202280405,268.9341650559465
303.0,-265.29903927364865,284.9232817962905
304.0,-268.9544974662162,329.2336482714172
305.0,-264.40118243243245,125.23835623302438
306.0,-269.15559016047297,114.61081014150858
307.0,-267.6449799408784,113.3232462841382
308.0,-269.13537267736484,123.0907449593346
309.0,-269.1827755489865,117.29875394401083
310.0,-268.68182538006755,120.13664269814261
311.0,-266.44942989864865,91.93119594359
312.0,-269.3975929054054,163.0634928588591
313.0,-266.3363597972973,112.89125233554539
314.0,-268.82786106418916,113.23826596582799
315.0,-269.1469594594595,133.60491183968762
316.0,-269.3016786317568,76.3406013398449
317.0,-269.38595333614865,155.42827347732373
318.0,-264.5228568412162,149.53388974694877
319.0,-269.6105099239865,94.14124677048848
320.0,-265.8311074746622,147.13743197969205
321.0,-267.78399493243245,354.6562660913752
322.0,-267.8610377956081,334.3407856957341
323.0,-267.24451013513516,305.0596266821542
324.0,-268.9727882179054,315.63626493980706
325.0,-266.6704761402027,304.5062497191435
326.0,-266.2498944256757,340.75125369112794
327.0,-266.2789009712838,366.9713933295319
328.0,-267.6176889780405,307.97721338759607
329.0,-267.86248944256755,352.5514434805559
330.0,-267.7808540962838,296.1863869397965
331.0,-259.259765625,340.0921300945452
332.0,-266.7455922719595,298.0404135657599
333.0,-268.95679370777026,357.87240763234115
334.0,-269.1151815878378,285.01742187153445
335.0,-268.5053051097973,250.37089510052087
336.0,-263.00131967905406,256.13095027841246
337.0,-269.30078125,132.67677930914616
338.0,-268.9963840793919,126.53017495353278
339.0,-269.78346706081084,109.33603581692327
340.0,-267.8598500844595,123.1944271139832
341.0,-263.9631809543919,108.650780906905
342.0,-268.7390994510135,121.54674016507802
343.0,-264.64001794763516,92.19331924013623
344.0,-269.74641047297297,115.06749728211832
345.0,-268.6385663006757,121.10059573328013
346.0,-265.7227354307432,139.16900132146762
347.0,-267.5244140625,135.04537666808312
348.0,-268.39194467905406,94.95085283863429
349.0,-265.49825802364865,141.75706187082915
350.0,-265.48009923986484,119.2079393093213
351.0,-265.66968433277026,79.59431314967769
352.0,-267.31184016047297,109.28182269040448
353.0,-266.4581397804054,407.4202296552861
354.0,-268.8462837837838,323.3069472718767
355.0,-264.6092694256757,390.2715985472941
356.0,-265.9065403293919,407.7456174933809
357.0,-268.60314611486484,451.04555440266915
358.0,-260.18776393581084,436.7499976790249
359.0,-264.74139569256755,379.0363086186741
360.0,-265.2593169341216,372.9374294907825
361.0,-268.93003061655406,366.1420037853071
362.0,-260.3321368243243,306.3072316907024
363.0,-264.93718327702703,343.21221425745136
364.0,-268.49158044763516,403.8435576972538
365.0,-269.05004222972974,378.02430921224965
366.0,-269.0528399493243,539.6128253332168
367.0,-266.7452755489865,334.2608367484312
368.0,-261.7715899493243,385.5069028636403
369.0,-267.8973025760135,249.5199210434092
370.0,-267.1260029560811,297.2381845851615
371.0,-269.1268739442568,204.69384621379984
372.0,-268.5198215793919,285.3752469476605
373.0,-266.68475506756755,235.43244556312413
374.0,-269.5467694256757,262.0243581187863
375.0,-263.5272117820946,164.63345766494268
376.0,-267.84504328547297,303.1913580560606
377.0,-264.1287742820946,267.95196274494924
378.0,-264.4448110219595,261.74437802092956
379.0,-265.31640625,250.5373054017027
380.0,-268.30349978885135,293.6262703729448
381.0,-266.5508868243243,191.18526360395646
382.0,-268.25065983952703,269.85920774745955
383.0,-267.5786528716216,234.49265522002963
384.0,-266.0897645692568,213.76332971198678
385.0,-257.29864336993245,400.29995573889715
386.0,-266.50749577702703,337.8162345321745
387.0,-264.63109691722974,392.2294114909873
388.0,-268.6263724662162,464.93735880938715
389.0,-264.86109058277026,421.58672174437805
390.0,-267.6820893158784,457.8362065656236
391.0,-263.31519214527026,364.4812419372145
392.0,-268.17356418918916,475.1136655386484
393.0,-258.10581186655406,360.1742954536796
394.0,-266.6043602195946,404.728259962705
395.0,-261.2143950591216,447.1910390956688
396.0,-253.15028505067568,399.31107906812593
397.0,-266.46838048986484,486.9135522292008
398.0,-267.8197846283784,389.81658683382784
399.0,-267.68911000844594,437.845292657113
400.0,-263.97830447635135,422.48331136431824
401.0,-264.2615867820946,148.18018184167713
402.0,-262.2236328125,160.91748714156222
403.0,-268.8017578125,163.31534346298182
404.0,-267.8617768158784,142.06497791199297
405.0,-263.96254750844594,137.87448180957836
406.0,-268.6265308277027,97.54520250984109
407.0,-267.8291807432432,146.0827829506649
408.0,-262.2201752533784,171.2522327606042
409.0,-268.0726615287162,178.09066373977538
410.0,-266.2361697635135,142.31154183753864
411.0,-264.5301150760135,160.81363633854804
412.0,-268.08559438344594,134.66567243797635
413.0,-257.51332875844594,154.66055492783013
414.0,-267.3115498310811,152.03476447571137
415.0,-259.38458086993245,106.32777461387843
416.0,-263.0159153293919,134.84757173868792
417.0,-265.9160948057432,848.6625920621993
418.0,-264.3642314189189,1086.6082439618908
419.0,-267.0750369510135,679.5851407578509
420.0,-267.9390572212838,717.3022050833384
421.0,-262.58044763513516,704.8808251618908
422.0,-260.1358213682432,779.3951701804405
423.0,-265.76145481418916,607.3787215217359
424.0,-269.0191089527027,772.3642884529079
425.0,-260.1455078125,866.0353379302545
426.0,-265.5938291807432,883.1963194884596
427.0,-268.4012880067568,986.256982564139
428.0,-267.3949535472973,667.9928284595409
429.0,-269.3442778716216,484.6348092724453
430.0,-265.2594752956081,741.0241200470566
431.0,-268.8920238597973,645.5252444020866
432.0,-267.8780088682432,568.7044757146166
433.0,-269.36840160472974,378.7775964305142
434.0,-264.7797191722973,390.308303385386
435.0,-267.3396853885135,347.26495642144715
436.0,-269.0848817567568,416.23985120257146
437.0,-267.6534258868243,396.5166257676261
438.0,-268.28188344594594,499.0227629388541
439.0,-267.35663006756755,458.9050698158368
440.0,-267.7884818412162,373.70739845278024
441.0,-267.14474239864865,499.30788536306716
442.0,-257.77515308277026,263.9568833202688
443.0,-264.7840477195946,375.51143248469594
444.0,-266.72780299831084,428.97745611073606
445.0,-269.1655405405405,466.6974912499017
446.0,-266.3511665962838,404.60275788137426
447.0,-259.6158150337838,568.39024864883
448.0,-268.85032200168916,452.8749172706337
449.0,-268.6401499155405,783.2305633510548
450.0,-256.99641047297297,746.122604118969
451.0,-266.7548300253378,879.3176375999883
452.0,-264.79069890202703,659.5561801157947
453.0,-261.5565878378378,818.0294825682125
454.0,-260.1659892314189,595.1713986227066
455.0,-266.3680320945946,822.913929598591
456.0,-259.2901974239865,813.4020782238198
457.0,-263.46803737331084,864.4199204459125
458.0,-268.2913059543919,688.2024595629493
459.0,-260.2768950591216,722.2380713550897
460.0,-268.75913217905406,763.5863953599327
461.0,-267.3276235219595,636.1528804048438
462.0,-265.1160525760135,805.1440218916019
463.0,-262.79038217905406,564.1588369206328
464.0,-267.2940244932432,683.3286559487005
465.0,-268.36594700168916,695.7733615150366
466.0,-259.0939083614865,835.6787581118882
467.0,-247.4144847972973,764.470911849058
468.0,-267.76697107263516,722.7943412934678
469.0,-261.1060494087838,801.9360636287278
470.0,-262.67950274493245,688.4499646528875
471.0,-269.1714263091216,788.2418326479176
472.0,-268.17205975506755,735.0080344162884
473.0,-261.5596494932432,554.9375745351334
474.0,-265.5620513091216,630.0422577899967
475.0,-264.84702280405406,774.3752780642393
476.0,-264.2172191722973,662.6021218014941
477.0,-265.77707981418916,572.1442789056094
478.0,-234.4203705658784,663.8085427962927
479.0,-264.29552892736484,631.4145646773533
480.0,-269.09496410472974,630.608325850007
481.0,-264.3760029560811,496.98856000015064
482.0,-269.3046083192568,461.6625390861055
483.0,-269.0291913006757,574.1897438910242
484.0,-265.13890941722974,357.0212440178313
485.0,-268.8187816722973,587.8656149502319
486.0,-266.5259712837838,541.5213816488372
487.0,-269.2110166807432,523.8095389190089
488.0,-255.58944784628378,368.3158860900874
489.0,-267.30144108952703,467.52046693888434
490.0,-258.6392261402027,574.6220988500394
491.0,-263.15659311655406,546.059549443641
492.0,-263.36095861486484,506.64656929649453
493.0,-264.3949799408784,460.3387940652155
494.0,-262.8179370777027,385.4026112667277
495.0,-267.75414379222974,426.5482316300964
496.0,-253.5590424408784,446.08380239064314
497.0,-263.162109375,803.0680457773341
498.0,-264.9125844594595,770.9124016676042
499.0,-262.3723606418919,719.6731208880783
500.0,-262.77758129222974,614.3117582706453
501.0,-264.38244298986484,980.5184310949383
502.0,-248.3725981841216,736.5368075589282
503.0,-255.71980574324326,677.4937423714033
504.0,-262.2129434121622,719.8302423903633
505.0,-268.50617609797297,590.809963576823
506.0,-262.9288692989865,818.3696751887229
507.0,-267.54808910472974,972.0873596900478
508.0,-266.4413534628378,855.6624943348655
