,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Apple,10000.0,26728.2,16728.2,1.6728195419470284,0.034734238087861996,0.03119975505382966,0.03119975505382966,0.9831339234475652,0.030722935107736413,0.08488815187792066,0.4801999026821701,3.4316115699792156,0.0166984530205949,0.49024176109374995,1,1,0.94
1,best_trained_on_dt__d20,False,Apple,10000.0,13669.49,3669.49,0.36694910683008164,0.012795673251414112,0.00981603073565207,0.00981603073565207,0.312581327224392,0.00976816647576225,0.07818414872637458,0.44227633396573635,0.773247584295514,-0.0010060245571595489,-0.11709091203865574,24,5,4.69
2,best_trained_on_dt__d20,True,Apple,10000.0,15930.45,5930.45,0.5930448181540713,0.01774300205065912,0.014657862009827438,0.014657862009827438,0.4656471649665909,0.014551473905205966,0.07953293307004397,0.44990621041187134,1.2626738751483604,0.0030875782892491738,-0.006713759382847462,31,5,4.69
