date,open,high,low,close,label,action,%body,%upper-shadow,%lower-shadow,sm_avg,trend
2010-01-04,313.788788,315.070068,312.432434,313.68869,[],None,0.03794992026945475,0.4857686851170349,0.4762813946135103,,0
2010-01-05,313.9039,314.234222,311.081085,312.307312,[],None,0.5063490739539669,0.10475979952661915,0.38889112651941393,,0
2010-01-06,313.243256,313.243256,303.48349,304.434448,[],None,0.9025634426071321,0.0,0.09743655739286798,,0
2010-01-07,305.005005,305.305298,296.621613,297.347351,['three black crows'],None,0.8818438255187754,0.034581286631195356,0.08357488785002923,,0
2010-01-08,296.296295,301.926941,294.849854,301.31131,['piercing line'],None,0.7086270099548022,0.08698932201907467,0.20438366802612315,,0
2010-01-11,302.532532,302.532532,297.317322,300.855865,['hanging man'],None,0.32149558694664354,0.0,0.6785044130533565,,0
2010-01-12,299.124115,299.379395,294.294281,295.535522,[],None,0.7057055161398584,0.05020143107902239,0.2440930527811192,,0
2010-01-13,288.533539,294.484497,287.237244,293.838837,[],None,0.7320426097998777,0.0890903077345256,0.1788670824655967,,0
2010-01-14,292.242249,297.3974,291.696686,295.220215,[],None,0.5223847398764397,0.3819144408928437,0.09570081923071655,,0
2010-01-15,296.96698,297.077087,289.309296,290.290283,"['bearish engulfing', 'dark cloud cover']",None,0.8595361280961344,0.014174814950611812,0.12628905695325376,,0
2010-01-19,290.8909,295.505493,288.433441,294.104095,['bullish harami'],None,0.45435115578901164,0.1981600248414508,0.34748881936953757,,0
2010-01-20,293.283295,293.283295,287.932922,290.495483,[],None,0.5210500277270456,0.0,0.4789499722729545,,0
2010-01-21,292.012024,293.703705,286.411407,291.781769,[],None,0.031575094709513946,0.2319818800603065,0.7364430252301796,,0
2010-01-22,282.532532,285.585571,267.697693,275.280273,[],None,0.4054286931071411,0.17067642120546733,0.4238948856873916,,0
2010-01-25,273.568573,275.21521,268.02301,270.270264,[],None,0.4585952837796517,0.22894760991073596,0.3124571063096123,,0
2010-01-26,269.254242,275.075073,268.413422,271.481476,['inverse hammer'],None,0.334336638169731,0.5394454017480075,0.1262179600822615,,0
2010-01-27,270.905914,274.099091,267.922913,271.32132,[],None,0.06725939569747165,0.4497556579489736,0.4829849463535547,,0
2010-01-28,272.517517,273.773773,265.565552,267.412415,['bearish engulfing'],None,0.6219498719637301,0.15304851075525508,0.22500161728101487,,0
2010-01-29,269.514526,270.765778,263.068054,265.235229,[],None,0.5559171775969091,0.16254830648643978,0.2815345159166512,,0
2010-02-01,267.567566,268.173187,265.415405,266.776764,['three black crows'],None,0.28675290505195683,0.21960437772093414,0.49364271722710906,288.44944605,0
2010-02-02,267.747742,267.747742,264.069061,265.825836,['three black crows'],None,0.5224443217555462,0.0,0.4775556782444538,286.05630335,0
2010-02-03,264.599609,271.32132,264.379395,270.680695,"['piercing line', 'bullish engulfing']",None,0.8759941946938355,0.09228348044670572,0.03172232485945869,283.97497250000004,0
2010-02-04,268.768768,269.269257,263.04303,263.653656,[],None,0.8215428059401007,0.08038399499407259,0.09807319906582675,281.9359329,0
2010-02-05,264.464478,267.017029,261.491486,265.910919,['bullish harami'],None,0.26177354877158693,0.20018123105729282,0.5380452201711202,280.3641113,0
