,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Bayerische Motoren Werke AG,10000.0,9663.22,-336.78,-0.03367751725236958,0.0027084400688236372,-0.0005804698927617258,-0.0005804698927617258,-0.034257667407399675,-0.0005806384306338928,0.08213492213517988,0.6308903079101561,-0.09294407683422531,-0.011629214828625058,-0.6671195833564934,1,1,0.51
1,best_trained_on_db_d20,False,Bayerische Motoren Werke AG,10000.0,5722.67,-4277.33,-0.42773266987121605,-0.007532624738671565,-0.009415546682881692,-0.009415546682881692,-0.5581490364161718,-0.009460153159596132,0.06277991453634982,0.482221673592438,-0.938764669158817,-0.015307330129954744,-0.6039612550808616,43,17,8.64
2,best_trained_on_db_d20,True,Bayerische Motoren Werke AG,10000.0,6234.6,-3765.4,-0.3765401217033429,-0.0059982892958865015,-0.007976002304273977,-0.007976002304273977,-0.4724708650958829,-0.008007980764336998,0.0642491224578734,0.4935068737715837,-0.8135654092007126,-0.014253424251633486,-0.5913174960636887,51,18,9.15
