,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Deutsche Bank,10000.0,10091.97,91.97,0.009197117759955653,0.0019968718665784755,4.199666998006002e-05,4.199666998006002e-05,0.009155081815522555,4.1995788144598874e-05,0.06283161355413845,0.9276976567158169,-0.19312753294890062,-0.006454214379019032,-1.41493379487485,1,1,0.14
1,best_trained_on_bmw_d5,False,Deutsche Bank,10000.0,18759.82,8759.82,0.8759819748804671,0.003957747910532404,0.0028900960150441968,0.0028900960150441968,0.629132242265201,0.0028859277168128486,0.04644545058715407,0.6857588598721432,1.0027152948263964,-0.0007923809466203768,-0.49824786818335465,156,71,9.77
2,best_trained_on_bmw_d5,True,Deutsche Bank,10000.0,20225.18,10225.18,1.0225175657838463,0.004729755452074136,0.0032361565301801676,0.0032361565301801676,0.7043430550964012,0.0032309314453963355,0.05481193002109093,0.8092884483513028,1.0307282773642052,-0.001882935621049497,-0.8822873406206226,138,37,5.09
