,model_name,evaluation_mode,stock,V_i,V_f,profit,return,amean_return,gmean_return,rate_of_return,log_return,log_rate_of_return,daily_volatility,total_volatility,sharpe_ratio,value_at_risk_per_day,value_at_risk,tried_transactions,transactions,transactions_per_30_t
0,(*) Buy&Hold,,Apple,10000.0,24852.82,14852.82,1.4852819784472573,0.008276442712928942,0.007137744732737206,0.007137744732737206,0.9103861253232834,0.007112391604088152,0.04804575858185335,0.5435757072076843,2.541764398070561,0.0029978346196645952,0.19190639224840877,1,1,0.23
1,best_trained_on_bmw_d5,False,Apple,10000.0,15435.24,5435.24,0.5435242516730484,0.004011925212452382,0.003396914896706793,0.003396914896706793,0.43406827696689765,0.003391158413803888,0.03544714285940366,0.4010386414331622,1.0968610204002551,0.0012097454906160004,0.061004938952466115,86,29,6.8
2,best_trained_on_bmw_d5,True,Apple,10000.0,17791.05,7791.05,0.7791046969427531,0.0054782474815055614,0.004511005484686859,0.004511005484686859,0.5761102585218567,0.0045008613947020056,0.044311440013546984,0.5013267154835199,1.3473530890539975,0.0010814401268340787,-0.024879856534754552,63,9,2.11
