episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
28.0,-117.14285714285714,4.104300192424229,-18.98190452938988,0.0,-126.28571428571429
29.0,-116.42857142857143,3.1089577901931036,-10.085387456984748,0.0,-124.78571428571429
30.0,-113.57142857142857,3.4575512749808177,-28.307062058221724,0.0,-123.64285714285715
31.0,-98.57142857142857,3.7988348801930747,-34.2734869094122,0.0,-121.00000000000003
32.0,-117.85714285714286,3.753444035847982,-31.792605445498513,0.0,-119.92857142857142
33.0,-128.57142857142858,4.463830516451881,-75.15604073660714,0.0,-119.92857142857142
34.0,-135.71428571428572,4.053960016795567,-24.468235560825892,0.0,-123.35714285714286
35.0,-105.71428571428571,3.5704453105018255,-17.253788539341517,0.0,-121.07142857142856
36.0,-125.0,3.4484866573697044,-27.834179106212797,0.0,-120.57142857142856
37.0,-113.57142857142857,2.8462842305501304,-21.407351539248513,0.0,-117.21428571428571
38.0,-132.14285714285714,3.6083035355522517,3.2140008835565474,0.0,-118.71428571428571
39.0,-120.71428571428571,2.7069028672717868,-12.098008655366444,0.0,-119.14285714285715
40.0,-134.28571428571428,3.0915015765598843,7.058832077752976,0.0,-121.21428571428571
41.0,-150.0,4.016400007974534,-21.22359357561384,0.0,-126.35714285714285
42.0,-132.14285714285714,4.473649796985445,-59.557274228050595,0.0,-127.78571428571429
43.0,-127.14285714285714,3.8842673074631464,-48.484747023809526,0.0,-127.64285714285714
44.0,-127.85714285714286,3.627332028888521,-55.818074544270836,0.0,-126.85714285714285
45.0,-129.28571428571428,3.964109636488415,-49.150442940848215,0.0,-129.21428571428572
46.0,-120.71428571428571,4.065860805057344,-30.071056547619047,0.0,-128.78571428571428
47.0,-127.14285714285714,3.4351092747279575,-54.452752976190474,0.0,-130.14285714285714
48.0,-129.28571428571428,3.7875919342041016,-28.659900483630953,0.0,-129.85714285714283
49.0,-122.14285714285714,4.1766611735026045,-63.465372721354164,0.0,-130.0
50.0,-129.28571428571428,3.8093242531731013,-64.51847330729167,0.0,-129.5
51.0,-117.14285714285714,3.8382425081162226,-34.324070521763396,0.0,-126.21428571428571
